Year,Series,Sector,Age group,Educational level,Value
2019,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",Urban,,,12
2019,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",Rural,,,41
2019,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,,,30.9
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,Males,,31
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,Females,,31
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,0 to 14 years old,,38
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,15 to 64 years old,,26
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,65 and older,,19
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,,Without education (16+),47
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,,Primary education (16+),27
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,,Secondary education (16+),17
2018,"Proportion of the population living below the international poverty line by sex, age, employment status and geographic location (urban/rural)",,,Tertiary/post-secondary education (16+),6
