Year,Series,Sector,State,Units,GeoCode,Value
2019,"Proportion of population living below the national poverty line, by sex, and age",Urban,,Percentage (%),NG,18.04
2019,"Proportion of population living below the national poverty line, by sex, and age",Rural,,Percentage (%),NG,52.1
2019,"Proportion of population living below the national poverty line, by sex, and age",,,Percentage (%),NG,40.1
2019,"Proportion of population living below the national poverty line, by sex, and age",,Abia,Percentage (%),NG-AB,30.67
2019,"Proportion of population living below the national poverty line, by sex, and age",,Adamawa,Percentage (%),NG-AD,75.41
2019,"Proportion of population living below the national poverty line, by sex, and age",,Akwa Ibom,Percentage (%),NG-AK,26.82
2019,"Proportion of population living below the national poverty line, by sex, and age",,Anambra,Percentage (%),NG-AN,14.78
2019,"Proportion of population living below the national poverty line, by sex, and age",,Bauchi,Percentage (%),NG-BA,61.53
2019,"Proportion of population living below the national poverty line, by sex, and age",,Bayelsa,Percentage (%),NG-BY,22.61
2019,"Proportion of population living below the national poverty line, by sex, and age",,Benue,Percentage (%),NG-BE,32.9
2019,"Proportion of population living below the national poverty line, by sex, and age",,Borno,Percentage (%),NG-BO,
2019,"Proportion of population living below the national poverty line, by sex, and age",,Cross River,Percentage (%),NG-CR,36.29
2019,"Proportion of population living below the national poverty line, by sex, and age",,Delta,Percentage (%),NG-DE,6.02
2019,"Proportion of population living below the national poverty line, by sex, and age",,Ebonyi,Percentage (%),NG-EB,79.76
2019,"Proportion of population living below the national poverty line, by sex, and age",,Edo,Percentage (%),NG-ED,11.99
2019,"Proportion of population living below the national poverty line, by sex, and age",,Ekiti,Percentage (%),NG-EK,28.04
2019,"Proportion of population living below the national poverty line, by sex, and age",,Enugu,Percentage (%),NG-EN,58.13
2019,"Proportion of population living below the national poverty line, by sex, and age",,Gombe,Percentage (%),NG-GO,62.31
2019,"Proportion of population living below the national poverty line, by sex, and age",,Imo,Percentage (%),NG-IM,28.86
2019,"Proportion of population living below the national poverty line, by sex, and age",,Jigawa,Percentage (%),NG-JI,87.02
2019,"Proportion of population living below the national poverty line, by sex, and age",,Kaduna,Percentage (%),NG-KD,43.48
2019,"Proportion of population living below the national poverty line, by sex, and age",,Kano,Percentage (%),NG-KN,55.08
2019,"Proportion of population living below the national poverty line, by sex, and age",,Katsina,Percentage (%),NG-KT,56.42
2019,"Proportion of population living below the national poverty line, by sex, and age",,Kebbi,Percentage (%),NG-KE,50.17
2019,"Proportion of population living below the national poverty line, by sex, and age",,Kogi,Percentage (%),NG-KO,28.51
2019,"Proportion of population living below the national poverty line, by sex, and age",,Kwara,Percentage (%),NG-KW,20.35
2019,"Proportion of population living below the national poverty line, by sex, and age",,Lagos,Percentage (%),NG-LA,4.5
2019,"Proportion of population living below the national poverty line, by sex, and age",,Nasarawa,Percentage (%),NG-NA,57.3
2019,"Proportion of population living below the national poverty line, by sex, and age",,Niger,Percentage (%),NG-NI,66.11
2019,"Proportion of population living below the national poverty line, by sex, and age",,Ogun,Percentage (%),NG-OG,9.32
2019,"Proportion of population living below the national poverty line, by sex, and age",,Ondo,Percentage (%),NG-ON,12.52
2019,"Proportion of population living below the national poverty line, by sex, and age",,Osun,Percentage (%),NG-OS,8.52
2019,"Proportion of population living below the national poverty line, by sex, and age",,Oyo,Percentage (%),NG-OY,9.83
2019,"Proportion of population living below the national poverty line, by sex, and age",,Plateau,Percentage (%),NG-PL,55.05
2019,"Proportion of population living below the national poverty line, by sex, and age",,Rivers,Percentage (%),NG-RI,23.91
2019,"Proportion of population living below the national poverty line, by sex, and age",,Sokoto,Percentage (%),NG-SO,87.73
2019,"Proportion of population living below the national poverty line, by sex, and age",,Taraba,Percentage (%),NG-TA,87.72
2019,"Proportion of population living below the national poverty line, by sex, and age",,Yobe,Percentage (%),NG-YO,72.34
2019,"Proportion of population living below the national poverty line, by sex, and age",,Zamfara,Percentage (%),NG-ZA,73.98
2019,"Proportion of population living below the national poverty line, by sex, and age",,Federal Capital Territory,Percentage (%),NG-FC,38.66
