Year,Series,Unit multiplier,Units,Value
2016,"Proportion of total government spending on essential services (education, health and social protection)",Billion,Naira,775.55
2017,"Proportion of total government spending on essential services (education, health and social protection)",Billion,Naira,931.68
2018,"Proportion of total government spending on essential services (education, health and social protection)",Billion,Naira,1083.73
2019,"Proportion of total government spending on essential services (education, health and social protection)",Billion,Naira,1393.08
2020,"Proportion of total government spending on essential services (education, health and social protection)",Billion,Naira,1519.12
2021,"Proportion of total government spending on essential services (education, health and social protection)",Billion,Naira,1438.07
2022,"Proportion of total government spending on essential services (education, health and social protection)",Billion,Naira,1628.99
2023,"Proportion of total government spending on essential services (education, health and social protection)",Billion,Naira,1751.70
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Net ODA received (% of GNI),,,,
2016,,,,0.63
2017,,,,0.91
2018,,,,0.8
2019,,,,0.7
2020,,,,0.79
2021,,,,0.82
2022,,,,0.97
