Year,Series,Gender,Sector,Discrimination,Education level,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,,Male,,Ethnic or immigration origin,,,,,,,NG,13.6
2021,,Male,Urban,Ethnic or immigration origin,,,,,,,NG,11.3
2021,,Male,Rural,Ethnic or immigration origin,,,,,,,NG,15.6
2021,,Male,,Ethnic or immigration origin,,,,,,15-19,NG,10.7
2021,,Male,,Ethnic or immigration origin,,,,,,15-17,NG,10.3
2021,,Male,,Ethnic or immigration origin,,,,,,18-19,NG,11.3
2021,,Male,,Ethnic or immigration origin,,,,,,20-24,NG,13.3
2021,,Male,,Ethnic or immigration origin,,,,,,25-29,NG,15.2
2021,,Male,,Ethnic or immigration origin,,,,,,30-34,NG,15.4
2021,,Male,,Ethnic or immigration origin,,,,,,35-39,NG,14.8
2021,,Male,,Ethnic or immigration origin,,,,,,40-44,NG,15.6
2021,,Male,,Ethnic or immigration origin,,,,,,45-49,NG,14.2
2021,,Male,,Ethnic or immigration origin,None,,,,,,NG,18.5
2021,,Male,,Ethnic or immigration origin,Primary,,,,,,NG,15.2
2021,,Male,,Ethnic or immigration origin,Junior secondary,,,,,,NG,13.5
2021,,Male,,Ethnic or immigration origin,Senior secondary,,,,,,NG,11.3
2021,,Male,,Ethnic or immigration origin,Higher/tertiary,,,,,,NG,14.0
2021,,Male,,Ethnic or immigration origin,,Hausa,,,,,NG,15.4
2021,,Male,,Ethnic or immigration origin,,Igbo,,,,,NG,9.8
2021,,Male,,Ethnic or immigration origin,,Yoruba,,,,,NG,2.6
2021,,Male,,Ethnic or immigration origin,,Fulani,,,,,NG,21.8
2021,,Male,,Ethnic or immigration origin,,Kanuri,,,,,NG,19.5
2021,,Male,,Ethnic or immigration origin,,Ijaw,,,,,NG,16.1
2021,,Male,,Ethnic or immigration origin,,Tiv,,,,,NG,7.8
2021,,Male,,Ethnic or immigration origin,,Ibibio,,,,,NG,23.2
2021,,Male,,Ethnic or immigration origin,,Edo,,,,,NG,5.5
2021,,Male,,Ethnic or immigration origin,,Other ethnicity,,,,,NG,18.5
2021,,Male,,Ethnic or immigration origin,,,Poorest,,,,NG,17.0
2021,,Male,,Ethnic or immigration origin,,,Second,,,,NG,16.2
2021,,Male,,Ethnic or immigration origin,,,Middle,,,,NG,13.1
2021,,Male,,Ethnic or immigration origin,,,Fourth,,,,NG,12.9
2021,,Male,,Ethnic or immigration origin,,,Richest,,,,NG,10.1
2021,,Male,,Ethnic or immigration origin,,,,North  Central,,,NGNCZ06,15.6
2021,,Male,,Ethnic or immigration origin,,,,North East,,,NGNEZ05,20.6
2021,,Male,,Ethnic or immigration origin,,,,North West,,,NGNWZ04,15.0
2021,,Male,,Ethnic or immigration origin,,,,South East,,,NGSEZ03,9.1
2021,,Male,,Ethnic or immigration origin,,,,South South,,,NGSSZ02,20.7
2021,,Male,,Ethnic or immigration origin,,,,South West,,,NGSWZ01,2.8
2021,,Male,,Ethnic or immigration origin,,,,,Abia,,NGAB01,3.0
2021,,Male,,Ethnic or immigration origin,,,,,Adamawa,,NGAD02,7.8
2021,,Male,,Ethnic or immigration origin,,,,,Akwa Ibom,,NGAK03,28.6
2021,,Male,,Ethnic or immigration origin,,,,,Anambra,,NGAN04,12.5
2021,,Male,,Ethnic or immigration origin,,,,,Bauchi,,NGBA05,20.0
2021,,Male,,Ethnic or immigration origin,,,,,Bayelsa,,NGBY06,11.8
2021,,Male,,Ethnic or immigration origin,,,,,Benue,,NGBE07,0.0
2021,,Male,,Ethnic or immigration origin,,,,,Borno,,NGBO08,31.1
2021,,Male,,Ethnic or immigration origin,,,,,Cross River,,NGXR09,4.3
2021,,Male,,Ethnic or immigration origin,,,,,Delta,,NGDE10,29.1
2021,,Male,,Ethnic or immigration origin,,,,,Ebonyi,,NGEB11,31.9
2021,,Male,,Ethnic or immigration origin,,,,,Edo,,NGED12,12.5
2021,,Male,,Ethnic or immigration origin,,,,,Ekiti,,NGEK13,3.2
2021,,Male,,Ethnic or immigration origin,,,,,Enugu,,NGEN14,2.7
2021,,Male,,Ethnic or immigration origin,,,,,Gombe,,NGGO15,21.4
