Year,Series,Gender,Age group,Value
2018,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",,15-24,0.04
2018,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",,25-34,0.16
2018,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",,35-49,0.08
2018,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",,15-49,0.09
2018,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",,15-64,0.08
2018,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",Male,15-24,0.03
2018,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",Male,25-34,0.1
2018,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",Male,35-49,0.05
2018,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",Male,15-49,0.06
2018,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",Male,15-64,0.05
2018,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",Female,15-24,0.05
2018,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",Female,25-34,0.22
2018,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",Female,35-49,0.1
2018,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",Female,15-49,0.12
2018,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",Female,15-64,0.12
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 Annual HIV incidence using LAg/VL1 testing algorithm,,,,
Age (years),Male,,Female,
,Percentage annual incidence,95% CI,Percentage annual incidence,95% CI
15-24,0.03,"(0.00,0.07)",0.05,"(0.01,0.10)"
25-34,0.1,"(0.01,0.19)",0.22,"(0.08,0.37)"
35-49,0.05,"(0.00,0.15)",0.1,"(0.02,0.18)"
15-49,0.06,"(0.02,0.10)",0.12,"(0.07,0.17)"
15-64,0.05,"(0.02,0.09)",0.12,"(0.07,0.17)"
"Source:National Agency for Control of Aids, NAIIS 2018",,,,
,,,,
,,,,
Age Group,National,Male,Female,
15-24,0.04,0.03,0.05,
25-34,0.16,0.1,0.22,
35-49,0.08,0.05,0.1,
15-49,0.09,0.06,0.12,
15-64,0.08,0.05,0.12,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
