Year,Series,Gender,Circumcision status,Number of sexual partners,Age group,Units,Value
2018,"Hepatitis B incidence per 100,000 population",Male,Circumcised,,,Percentage (%),10.20
2018,"Hepatitis B incidence per 100,000 population",Male,Not circumcised,,,Percentage (%),11.40
2018,"Hepatitis B incidence per 100,000 population",Male,,Zero,,Percentage (%),10.70
2018,"Hepatitis B incidence per 100,000 population",Male,,One,,Percentage (%),10.80
2018,"Hepatitis B incidence per 100,000 population",Male,,Two or more ,,Percentage (%),8.30
2018,"Hepatitis B incidence per 100,000 population",Male,,,15-19 ,Percentage (%),10.30
2018,"Hepatitis B incidence per 100,000 population",Male,,,20-24 ,Percentage (%),10.70
2018,"Hepatitis B incidence per 100,000 population",Male,,,25-29 ,Percentage (%),13.70
2018,"Hepatitis B incidence per 100,000 population",Male,,,30-34 ,Percentage (%),11.20
2018,"Hepatitis B incidence per 100,000 population",Male,,,35-39 ,Percentage (%),13.10
2018,"Hepatitis B incidence per 100,000 population",Male,,,40-44 ,Percentage (%),9.20
2018,"Hepatitis B incidence per 100,000 population",Male,,,45-49 ,Percentage (%),7.70
2018,"Hepatitis B incidence per 100,000 population",Male,,,50-54 ,Percentage (%),6.10
2018,"Hepatitis B incidence per 100,000 population",Male,,,55-59,Percentage (%),3.90
2018,"Hepatitis B incidence per 100,000 population",Male,,,60-64,Percentage (%),5.20
2018,"Hepatitis B incidence per 100,000 population",Male,,,15-24,Percentage (%),10.50
2018,"Hepatitis B incidence per 100,000 population",Male,,,15-49,Percentage (%),11.10
2018,"Hepatitis B incidence per 100,000 population",Male,,,15-64,Percentage (%),10.30
2018,"Hepatitis B incidence per 100,000 population",Male,Circumcised,,,Number,4279
2018,"Hepatitis B incidence per 100,000 population",Male,Not circumcised,,,Number,77
2018,"Hepatitis B incidence per 100,000 population",Male,,Zero,,Number,1438
2018,"Hepatitis B incidence per 100,000 population",Male,,One,,Number,2035
2018,"Hepatitis B incidence per 100,000 population",Male,,Two or more ,,Number,862
2018,"Hepatitis B incidence per 100,000 population",Male,,,15-19 ,Number,443
2018,"Hepatitis B incidence per 100,000 population",Male,,,20-24 ,Number,464
2018,"Hepatitis B incidence per 100,000 population",Male,,,25-29 ,Number,605
2018,"Hepatitis B incidence per 100,000 population",Male,,,30-34 ,Number,591
