Year,Series,Gender,School type,Value
2017/2018,"Proportion of teachers with the minimum required qualifications, by education level",Male,Junior Secondary,156248
2018/2019,"Proportion of teachers with the minimum required qualifications, by education level",Male,Junior Secondary,178831
2019/2020,"Proportion of teachers with the minimum required qualifications, by education level",Male,Junior Secondary,154.201
2020/2021,"Proportion of teachers with the minimum required qualifications, by education level",Male,Junior Secondary,129800
2021/2022,"Proportion of teachers with the minimum required qualifications, by education level",Male,Junior Secondary,158724
2017/2018,"Proportion of teachers with the minimum required qualifications, by education level",Female,Junior Secondary,135513
2018/2019,"Proportion of teachers with the minimum required qualifications, by education level",Female,Junior Secondary,197813
2019/2020,"Proportion of teachers with the minimum required qualifications, by education level",Female,Junior Secondary,148959
2020/2021,"Proportion of teachers with the minimum required qualifications, by education level",Female,Junior Secondary,131264
2021/2022,"Proportion of teachers with the minimum required qualifications, by education level",Female,Junior Secondary,151023
2017/2018,"Proportion of teachers with the minimum required qualifications, by education level",,Junior Secondary,291761
2018/2019,"Proportion of teachers with the minimum required qualifications, by education level",,Junior Secondary,367146
2019/2020,"Proportion of teachers with the minimum required qualifications, by education level",,Junior Secondary,303160
2020/2021,"Proportion of teachers with the minimum required qualifications, by education level",,Junior Secondary,261064
2021/2022,"Proportion of teachers with the minimum required qualifications, by education level",,Junior Secondary,309747
2017/2018,"Proportion of teachers with the minimum required qualifications, by education level",Male,Senior Secondary,205542
2018/2019,"Proportion of teachers with the minimum required qualifications, by education level",Male,Senior Secondary,204262
2019/2020,"Proportion of teachers with the minimum required qualifications, by education level",Male,Senior Secondary,221622
2020/2021,"Proportion of teachers with the minimum required qualifications, by education level",Male,Senior Secondary,285356
2021/2022,"Proportion of teachers with the minimum required qualifications, by education level",Male,Senior Secondary,285356
2017/2018,"Proportion of teachers with the minimum required qualifications, by education level",Female,Senior Secondary,188160
2018/2019,"Proportion of teachers with the minimum required qualifications, by education level",Female,Senior Secondary,222300
2019/2020,"Proportion of teachers with the minimum required qualifications, by education level",Female,Senior Secondary,230379
2020/2021,"Proportion of teachers with the minimum required qualifications, by education level",Female,Senior Secondary,237764
2021/2022,"Proportion of teachers with the minimum required qualifications, by education level",Female,Senior Secondary,237764
2017/2018,"Proportion of teachers with the minimum required qualifications, by education level",,Senior Secondary,393702
2018/2019,"Proportion of teachers with the minimum required qualifications, by education level",,Senior Secondary,426562
2019/2020,"Proportion of teachers with the minimum required qualifications, by education level",,Senior Secondary,452001
2020/2021,"Proportion of teachers with the minimum required qualifications, by education level",,Senior Secondary,523120
2021/2022,"Proportion of teachers with the minimum required qualifications, by education level",,Senior Secondary,523120
