Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Gender,Units,GeoCode,Value
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,,Female,Percentage (%),NG,2.6
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",Urban,,,,,,Female,Percentage (%),NG,2.1
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",Rural,,,,,,Female,Percentage (%),NG,3.1
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,15-19,,,,,Female,Percentage (%),NG,0.5
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,20-24,,,,,Female,Percentage (%),NG,1.5
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,25-29,,,,,Female,Percentage (%),NG,1.6
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,30-34,,,,,Female,Percentage (%),NG,2.8
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,35-39,,,,,Female,Percentage (%),NG,3.8
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,40-44,,,,,Female,Percentage (%),NG,4.9
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,45-49,,,,,Female,Percentage (%),NG,7.5
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,North Central,,,Female,Percentage (%),NGNCZ06,2.8
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,North East,,,Female,Percentage (%),NGNEZ05,2
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,North West,,,Female,Percentage (%),NGNWZ04,2.2
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,South East,,,Female,Percentage (%),NGSEZ03,1.5
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,South South,,,Female,Percentage (%),NGSSZ02,4.9
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,South West,,,Female,Percentage (%),NGSWZ01,2.8
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,None,,,,Female,Percentage (%),NG,5.1
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,Primary,,,,Female,Percentage (%),NG,6.3
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,Secondary,,,,Female,Percentage (%),NG,2.8
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,Higher,,,,Female,Percentage (%),NG,3.5
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,Lowest,,Female,Percentage (%),NG,2.3
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,Second,,Female,Percentage (%),NG,3.2
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,Middle,,Female,Percentage (%),NG,2.9
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,Fourth,,Female,Percentage (%),NG,2.4
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,Highest,,Female,Percentage (%),NG,2.3
