Year,Series,Measure,Sector,Geopolitical Zone,State,Units,GeoCode,Value
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,,Index,NG,0.257
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),Rural,,,Index,NG,0.302
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),Urban,,,Index,NG,0.155
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,North  Central,,Index,NGNCZ06,0.272
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,North East,,Index,NGNEZ05,0.324
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,North West,,Index,NGNWZ04,0.324
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,South East,,Index,NGSEZ03,0.183
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,South South,,Index,NGSSZ02,0.25
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,South West,,Index,NGSWZ01,0.151
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Abia,Index,NGAB01,0.101
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Adamawa,Index,NGAD02,0.283
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Akwa Ibom,Index,NGAK03,0.293
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Anambra,Index,NGAN04,0.109
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Bauchi,Index,NGBA05,0.298
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Bayelsa,Index,NGBY06,0.401
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Benue,Index,NGBE07,0.312
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Borno,Index,NGBO08,0.315
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Cross River,Index,NGXR09,0.299
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Delta,Index,NGDE10,0.173
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Ebonyi,Index,NGEB11,0.32
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Edo,Index,NGED12,0.126
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Ekiti,Index,NGEK13,0.125
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Enugu,Index,NGEN14,0.234
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Gombe,Index,NGGO15,0.38
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Imo,Index,NGIM16,0.142
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Jigawa,Index,NGJI17,0.385
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Kaduna,Index,NGKD18,0.298
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Kano,Index,NGKN19,0.27
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Katsina,Index,NGKT20,0.304
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Kebbi,Index,NGKE21,0.385
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Kogi,Index,NGKO22,0.25
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Kwara,Index,NGKW23,0.185
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Lagos,Index,NGLA24,0.101
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Nasarawa,Index,NGNA25,0.243
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Niger,Index,NGNI26,0.278
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Ogun,Index,NGOG27,0.289
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Ondo,Index,NGON28,0.095
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Osun,Index,NGOS29,0.15
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Oyo,Index,NGOY30,0.19
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Plateau,Index,NGPL31,0.365
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Rivers,Index,NGRI32,0.241
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Sokoto,Index,NGSO33,0.409
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Taraba,Index,NGTA34,0.34
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Yobe,Index,NGYO35,0.37
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Zamfara,Index,NGZA36,0.328
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Multidimension Poverty Index (MPI),,,Federal Capital Territory,Index,NGFC37,0.186
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,,Percentage (%),NG,62.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),Rural,,,Percentage (%),NG,72.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),Urban,,,Percentage (%),NG,42.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,North  Central,,Percentage (%),NGNCZ06,66.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,North East,,Percentage (%),NGNEZ05,76.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,North West,,Percentage (%),NGNWZ04,75.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,South East,,Percentage (%),NGSEZ03,49.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,South South,,Percentage (%),NGSSZ02,62.6
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,South West,,Percentage (%),NGSWZ01,40.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Abia,Percentage (%),NGAB01,29.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Adamawa,Percentage (%),NGAD02,68.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Akwa Ibom,Percentage (%),NGAK03,71.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Anambra,Percentage (%),NGAN04,32.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Bauchi,Percentage (%),NGBA05,73.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Bayelsa,Percentage (%),NGBY06,88.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Benue,Percentage (%),NGBE07,75.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Borno,Percentage (%),NGBO08,72.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Cross River,Percentage (%),NGXR09,75.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Delta,Percentage (%),NGDE10,47.6
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Ebonyi,Percentage (%),NGEB11,78.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Edo,Percentage (%),NGED12,35.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Ekiti,Percentage (%),NGEK13,36.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Enugu,Percentage (%),NGEN14,63.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Gombe,Percentage (%),NGGO15,86.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Imo,Percentage (%),NGIM16,40.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Jigawa,Percentage (%),NGJI17,84.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Kaduna,Percentage (%),NGKD18,73.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Kano,Percentage (%),NGKN19,66.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Katsina,Percentage (%),NGKT20,72.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Kebbi,Percentage (%),NGKE21,82.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Kogi,Percentage (%),NGKO22,61.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Kwara,Percentage (%),NGKW23,48.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Lagos,Percentage (%),NGLA24,29.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Nasarawa,Percentage (%),NGNA25,60.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Niger,Percentage (%),NGNI26,69.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Ogun,Percentage (%),NGOG27,68.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Ondo,Percentage (%),NGON28,27.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Osun,Percentage (%),NGOS29,40.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Oyo,Percentage (%),NGOY30,48.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Plateau,Percentage (%),NGPL31,84.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Rivers,Percentage (%),NGRI32,62.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Sokoto,Percentage (%),NGSO33,90.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Taraba,Percentage (%),NGTA34,79.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Yobe,Percentage (%),NGYO35,83.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Zamfara,Percentage (%),NGZA36,78.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Incidence (H),,,Federal Capital Territory,Percentage (%),NGFC37,48.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,,Percentage (%),NG,40.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),Rural,,,Percentage (%),NG,41.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),Urban,,,Percentage (%),NG,36.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,North  Central,,Percentage (%),NGNCZ06,41.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,North East,,Percentage (%),NGNEZ05,42.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,North West,,Percentage (%),NGNWZ04,42.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,South East,,Percentage (%),NGSEZ03,37.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,South South,,Percentage (%),NGSSZ02,39.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,South West,,Percentage (%),NGSWZ01,37.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Abia,Percentage (%),NGAB01,33.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Adamawa,Percentage (%),NGAD02,41.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Akwa Ibom,Percentage (%),NGAK03,41.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Anambra,Percentage (%),NGAN04,34.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Bauchi,Percentage (%),NGBA05,40.4
