Value,Disaggregation combinations using this value,Number of indicators
0-5 Months,1,1
0 to 14 years old,1,1
12-14,2,1
12-23 Months,2,2
15-17,24,4
15-19,49,10
15-24,29,3
15-49,9,2
15-64,9,2
15 to 64 years old,1,1
18-19,22,3
18-24,2,1
20-24,45,9
20-29,4,1
24-35 Months,2,2
25-29,45,9
25-30,2,1
25-34,3,1
3-5,2,1
30-34,37,7
30-39,12,3
31-59,2,1
35-39,37,7
35-49,3,1
36-47 Months,2,2
40-44,37,7
40-49,12,3
45-49,37,7
48-59 Months,2,2
50-54,6,1
50-59,3,1
55-59,6,1
6-11 Months,2,2
6-11,2,1
60-64,6,1
60+,2,1
65 and older,1,1
Females,1,1
Males,1,1
