Value,Disaggregation combinations using this value,Number of indicators
NG-AB,2,2
NG-AD,2,2
NG-AK,2,2
NG-AN,2,2
NG-BA,2,2
NG-BE,2,2
NG-BO,2,2
NG-BY,2,2
NG-CR,2,2
NG-DE,2,2
NG-EB,2,2
NG-ED,2,2
NG-EK,2,2
NG-EN,2,2
NG-FC,2,2
NG-GO,2,2
NG-IM,2,2
NG-JI,2,2
NG-KD,2,2
NG-KE,2,2
NG-KN,2,2
NG-KO,2,2
NG-KT,2,2
NG-KW,2,2
NG-LA,2,2
NG-NA,2,2
NG-NC,1,1
NG-NE,1,1
NG-NI,2,2
NG-NW,1,1
NG-OG,2,2
NG-ON,2,2
NG-OS,2,2
NG-OY,2,2
NG-PL,2,2
NG-RI,2,2
NG-SE,1,1
NG-SO,2,2
NG-SS,1,1
NG-SW,1,1
NG-TA,2,2
NG-YO,2,2
NG-ZA,2,2
