Value,Disaggregation combinations using this value,Number of indicators
Abia,17,5
Adamawa,17,5
Akwa Ibom,17,5
Anambra,17,5
Bauchi,17,5
Bayelsa,17,5
Benue,17,5
Borno,16,4
Cross River,17,5
Delta,17,5
Ebonyi,17,5
Edo,17,5
Ekiti,17,5
Enugu,17,5
Federal Capital Territory,17,5
Gombe,17,5
Imo,17,5
Jigawa,17,5
Kaduna,17,5
Kano,17,5
Katsina,17,5
Kebbi,17,5
Kogi,17,5
Kwara,17,5
Lagos,17,5
Nasarawa,17,5
Niger,17,5
Ogun,17,5
Ondo,17,5
Osun,17,5
Oyo,17,5
Plateau,17,5
Rivers,17,5
Sokoto,17,5
Taraba,17,5
Yobe,17,5
Zamfara,17,5
